Order 1,Order 2
ta,bi
ba,di
du,pu
di,ta
pu,pi
bi,pa
tu,bu
pa,ba
da,da
ti,ti
bu,du
pi,tu
ta,ti
ti,du
pu,tu
ba,bu
tu,di
bu,ba
pa,pu
pi,pi
bi,ta
du,bi
di,pa
da,da
pu,pa
da,ta
bu,ba
tu,ti
ti,pi
pa,da
du,tu
ba,bi
pi,di
bi,bu
ta,pu
di,du
da,pi
bu,pa
ba,bi
pu,ta
ta,ti
bi,du
ti,pu
pa,tu
pi,bu
du,di
tu,ba
di,da
bi,bu
du,tu
bu,ta
pi,pu
pa,bi
pu,du
di,ti
ba,pa
da,di
ti,ba
ta,da
tu,pi
da,ti
di,pu
ba,bi
pa,ta
ti,pa
ta,di
pu,bu
bi,du
bu,ba
du,pi
pi,da
tu,tu
tu,da
pa,du
da,ba
bi,bi
ti,ta
di,di
pu,tu
du,pu
ta,bu
bu,pi
pi,pa
ba,ti
bi,di
pa,da
tu,ta
di,pa
ba,du
pi,pu
ti,bi
bu,ti
pu,bu
du,tu
ta,pi
da,ba
ti,pu
pa,tu
da,da
di,pa
bu,bu
ta,di
pu,bi
ba,ba
du,pi
bi,ti
pi,ta
tu,du
bi,ba
di,da
pi,ti
pa,du
du,bu
ta,di
da,pu
pu,pi
ba,tu
ti,ta
tu,bi
bu,pa
bi,ti
tu,bu
du,ba
pi,tu
ti,di
pa,bi
da,du
ta,ta
di,da
pu,pu
ba,pi
bu,pa
tu,tu
ti,ta
pu,da
pi,pi
du,pa
pa,pu
bi,ba
ta,du
bu,di
di,ti
da,bu
ba,bi
tu,di
ta,pa
ti,ta
bi,bu
da,pi
bu,du
pu,da
di,tu
ba,bi
du,pu
pi,ti
pa,ba
pu,pu
ti,da
du,bu
bi,pa
pi,du
tu,ta
da,pi
ba,bi
di,tu
pa,ba
ta,di
bu,ti
ti,pu
pi,bu
pa,di
di,ta
pu,da
bi,pi
tu,du
ba,bi
ta,tu
bu,ti
du,ba
da,pa
pi,du
ta,ti
pu,di
ti,pi
du,da
bu,bi
di,ba
da,ta
tu,tu
ba,bu
pa,pa
bi,pu
bu,bi
di,ti
ta,pu
pa,pi
ba,ta
pu,di
pi,bu
du,tu
bi,ba
ti,du
tu,da
da,pa
ti,bu
du,pu
pu,ti
bi,ta
bu,di
da,ba
tu,tu
pi,pi
ba,pa
di,bi
pa,du
ta,da
ti,pa
tu,pi
da,tu
ba,ba
pi,ta
pa,ti
bu,bi
di,da
ta,du
pu,pu
du,di
bi,bu
tu,ta
di,tu
du,du
pi,di
da,pu
bu,ba
ba,bi
bi,ti
ta,pa
pa,pi
ti,da
pu,bu
pa,pi
ta,pu
di,pa
bu,di
