Order 1,Order 2
du,pa
ta,da
bu,bu
pa,pa
ti,bu
ba,pi
bi,bu
ta,bi
du,pa
tu,ta
di,pi
tu,da
ta,bu
da,pu
tu,ba
pu,da
di,tu
tu,pu
du,bu
bu,di
bi,pu
di,ti
da,bi
tu,ta
pu,pu
tu,du
ti,ba
di,bi
du,ba
pi,tu
tu,du
du,pi
di,du
da,pa
pi,bu
du,da
tu,tu
ti,pu
bi,ta
ta,ba
pa,ti
pi,ba
pa,pi
ti,pu
pu,du
du,tu
tu,ta
bi,pa
ba,bu
da,ti
tu,pu
ta,tu
du,da
tu,ta
ba,pi
pu,pa
ti,pi
di,tu
bi,ti
pi,bu
tu,pa
bu,pi
du,di
pa,ta
pi,da
tu,ti
da,da
bu,du
pi,da
ba,bu
pa,pi
ti,bi
da,tu
pa,pi
pu,bi
pa,ti
ta,du
ba,ba
bu,pa
pa,ti
ta,da
bi,bi
da,ti
bi,da
ta,du
du,pu
bu,bu
ti,pi
bu,bi
ba,pu
da,du
di,tu
pi,bi
ta,ta
pi,pa
du,di
bi,bi
da,du
ba,ta
pa,pu
ta,ta
pu,di
bu,tu
pi,pa
di,pi
pa,du
bi,pu
ti,di
pi,bi
bi,tu
di,pu
bi,bi
pi,pi
da,da
bi,pi
tu,di
di,ba
ta,ta
du,pa
ba,pu
du,pa
bu,pu
pa,pi
ta,di
pi,du
pa,pu
da,ti
bi,bu
ta,du
bu,da
da,bu
bu,pi
ba,di
ta,tu
pu,ba
pi,ta
ta,pu
ba,ba
ta,tu
ti,ta
pa,ti
tu,ba
bu,pa
ba,di
di,ba
pa,bu
ba,tu
ti,pa
ta,ti
tu,ta
ba,ba
pu,ta
ta,pi
ba,pu
tu,ta
di,ba
pi,bu
bu,da
da,bu
du,ta
bu,bi
ti,da
pu,pa
du,pi
di,ta
pi,pa
pu,bu
pa,du
pu,ba
pa,du
ta,ta
ba,di
di,tu
pi,bi
da,da
pi,pi
bi,bi
pu,di
tu,bi
bi,pi
di,ti
pu,bi
du,pa
pi,di
pa,pi
tu,bu
di,pu
ta,ta
pu,pa
ta,ba
du,da
bi,bi
di,du
pa,pi
ta,ta
bi,pi
tu,di
du,da
pu,ba
bi,bu
pi,ti
bu,bu
pu,du
du,ta
da,bi
ti,da
bi,bi
da,ta
ti,pa
pa,bu
ba,ba
du,ta
ti,pa
bi,pu
pi,pa
tu,da
bi,ti
pi,pa
bu,ba
da,pi
du,bu
da,da
ti,tu
da,pi
ta,pa
di,du
pi,bu
pa,tu
bu,pi
ti,bi
tu,di
pi,ti
pa,pu
pi,ba
ta,tu
da,du
tu,ta
pu,tu
ti,da
bu,ba
pa,bi
ta,tu
tu,du
du,pu
pu,ti
pi,pa
ba,pi
ti,pa
ba,ta
ta,bi
pu,ti
tu,tu
da,du
bu,pi
pa,da
du,di
pi,du
du,tu
tu,pi
ba,du
bi,di
ba,ti
du,tu
pu,pu
ta,tu
bi,da
ti,di
pu,bi
di,bu
bu,du
pu,tu
tu,di
da,pu
ba,tu
pu,da
bu,ta
da,tu
pi,di
ta,tu
pa,du
bi,ta
bu,bi
pi,ba
bu,ti
pa,pa
bu,bu
da,ta
pa,du
