Order 1,Order 2
bu,bu
pa,pa
da,da
di,di
ba,ba
pu,pu
pi,pi
tu,tu
bi,bi
ta,ta
ti,ti
du,du
ta,pi
ti,tu
du,bi
di,di
ba,ba
pu,pu
bu,ta
pa,ti
da,du
pi,bu
tu,pa
bi,da
ta,pi
ti,tu
du,bi
pi,bu
tu,pa
bi,da
di,di
ba,ba
pu,pu
bu,ta
pa,ti
da,du
ta,bu
ti,pa
du,da
bu,ta
pa,ti
da,du
di,di
ba,ba
pu,pu
pi,pi
tu,tu
bi,bi
bu,ta
pa,ti
da,du
ta,bu
ti,pa
du,da
di,pi
ba,tu
pu,bi
pi,di
tu,ba
bi,pu
pi,pi
tu,tu
bi,bi
bu,bu
pa,pa
da,da
di,di
ba,ba
pu,pu
ta,ta
ti,ti
du,du
bu,ta
pa,ti
da,du
ta,di
ti,ba
du,pu
pi,pi
tu,tu
bi,bi
di,bu
ba,pa
pu,da
di,di
ba,ba
pu,pu
ta,ta
ti,ti
du,du
pi,pi
tu,tu
bi,bi
bu,bu
pa,pa
da,da
di,di
ba,ba
pu,pu
bu,pi
pa,tu
da,bi
ta,bu
ti,pa
du,da
pi,ta
tu,ti
bi,du
ta,pi
ti,tu
du,bi
di,di
ba,ba
pu,pu
pi,ta
tu,ti
bi,du
bu,bu
pa,pa
da,da
bu,bu
pa,pa
da,da
ta,di
ti,ba
du,pu
di,ta
ba,ti
pu,du
pi,pi
tu,tu
bi,bi
di,ta
ba,ti
pu,du
ta,bu
ti,pa
du,da
bu,di
pa,ba
da,pu
pi,pi
tu,tu
bi,bi
bu,pi
pa,tu
da,bi
ta,ta
ti,ti
du,du
di,bu
ba,pa
pu,da
pi,di
tu,ba
bi,pu
di,di
ba,ba
pu,pu
bu,ta
pa,ti
da,du
ta,bu
ti,pa
du,da
pi,pi
tu,tu
bi,bi
bu,bu
pa,pa
da,da
di,di
ba,ba
pu,pu
ta,ta
ti,ti
du,du
pi,pi
tu,tu
bi,bi
ta,bu
ti,pa
du,da
di,di
ba,ba
pu,pu
pi,pi
tu,tu
bi,bi
bu,ta
pa,ti
da,du
ta,pi
ti,tu
du,bi
pi,ta
tu,ti
bi,du
di,di
ba,ba
pu,pu
bu,bu
pa,pa
da,da
pi,pi
tu,tu
bi,bi
bu,ta
pa,ti
da,du
ta,bu
ti,pa
du,da
di,di
ba,ba
pu,pu
ta,pi
ti,tu
du,bi
pi,ta
tu,ti
bi,du
di,bu
ba,pa
pu,da
bu,di
pa,ba
da,pu
pi,ta
tu,ti
bi,du
ta,pi
ti,tu
du,bi
di,di
ba,ba
pu,pu
bu,bu
pa,pa
da,da
di,bu
ba,pa
pu,da
ta,ta
ti,ti
du,du
pi,di
tu,ba
bi,pu
bu,pi
pa,tu
da,bi
ta,pi
ti,tu
du,bi
di,ta
ba,ti
pu,du
pi,di
tu,ba
bi,pu
bu,bu
pa,pa
da,da
pi,di
tu,ba
bi,pu
ta,bu
ti,pa
du,da
bu,ta
pa,ti
da,du
di,pi
ba,tu
pu,bi
pi,pi
tu,tu
bi,bi
di,bu
ba,pa
pu,da
ta,ta
ti,ti
du,du
bu,di
pa,ba
da,pu
pi,pi
tu,tu
bi,bi
bu,di
pa,ba
da,pu
ta,ta
ti,ti
du,du
di,bu
ba,pa
pu,da
di,pi
ba,tu
pu,bi
bu,ta
pa,ti
da,du
ta,bu
ti,pa
du,da
pi,di
tu,ba
bi,pu
pi,ta
tu,ti
bi,du
ta,di
ti,ba
du,pu
di,pi
ba,tu
pu,bi
bu,bu
pa,pa
da,da
bu,di
pa,ba
da,pu
ta,ta
ti,ti
du,du
di,pi
ba,tu
pu,bi
pi,bu
tu,pa
bi,da
ta,pi
ti,tu
du,bi
pi,ta
tu,ti
bi,du
di,di
ba,ba
pu,pu
bu,bu
pa,pa
da,da
pi,ta
tu,ti
bi,du
ta,pi
ti,tu
du,bi
bu,di
pa,ba
da,pu
di,bu
ba,pa
pu,da
pi,pi
tu,tu
bi,bi
ta,bu
ti,pa
du,da
bu,ta
pa,ti
da,du
di,di
ba,ba
pu,pu
pi,ta
tu,ti
bi,du
ta,pi
ti,tu
du,bi
di,di
ba,ba
pu,pu
bu,bu
pa,pa
da,da
bu,ta
pa,ti
da,du
di,di
ba,ba
pu,pu
pi,pi
tu,tu
bi,bi
ta,bu
ti,pa
du,da
bu,bu
pa,pa
da,da
di,di
ba,ba
pu,pu
ta,ta
ti,ti
du,du
pi,pi
tu,tu
bi,bi
di,di
ba,ba
pu,pu
ta,bu
ti,pa
du,da
bu,ta
pa,ti
da,du
pi,pi
tu,tu
bi,bi
pi,bu
tu,pa
bi,da
ta,ta
ti,ti
du,du
bu,di
pa,ba
da,pu
di,pi
ba,tu
pu,bi
ta,di
ti,ba
du,pu
bu,ta
pa,ti
da,du
di,bu
ba,pa
pu,da
pi,pi
tu,tu
bi,bi
bu,bu
pa,pa
da,da
di,ta
ba,ti
pu,du
ta,di
ti,ba
du,pu
pi,pi
tu,tu
bi,bi
pi,ta
tu,ti
bi,du
di,di
ba,ba
pu,pu
ta,pi
ti,tu
du,bi
bu,bu
pa,pa
da,da
di,di
ba,ba
pu,pu
pi,bu
tu,pa
bi,da
bu,ta
pa,ti
da,du
ta,pi
ti,tu
du,bi
di,di
ba,ba
pu,pu
ta,ta
ti,ti
du,du
pi,pi
tu,tu
bi,bi
bu,bu
pa,pa
da,da
ta,bu
ti,pa
du,da
di,ta
ba,ti
pu,du
pi,pi
tu,tu
bi,bi
bu,di
pa,ba
da,pu
pi,pi
tu,tu
bi,bi
bu,bu
pa,pa
da,da
di,di
ba,ba
pu,pu
ta,ta
ti,ti
du,du
ta,bu
ti,pa
du,da
bu,ta
pa,ti
da,du
pi,di
tu,ba
bi,pu
di,pi
ba,tu
pu,bi
bu,ta
pa,ti
da,du
ta,bu
ti,pa
du,da
di,di
ba,ba
pu,pu
pi,pi
tu,tu
bi,bi
pi,ta
tu,ti
bi,du
bu,pi
pa,tu
da,bi
di,di
ba,ba
pu,pu
ta,bu
ti,pa
du,da
pi,ta
tu,ti
bi,du
di,di
ba,ba
pu,pu
ta,bu
ti,pa
du,da
bu,pi
pa,tu
da,bi
bu,bu
pa,pa
da,da
di,di
ba,ba
pu,pu
pi,pi
tu,tu
bi,bi
ta,ta
ti,ti
du,du
